ID,title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Types
989,Kissing Game,2020,18+,6.4,52,1,,,,1
990,Who Killed Malcolm X?,2019,,7.6,52,1,,,,1
991,"Good Morning, Verֳ´nica",2020,,7.6,52,1,,,,1
992,Bad Boy Billionaires: India,2020,,8,52,1,,,,1
993,Neo Yokio,2017,18+,5.9,52,1,,,,1
994,Grand Hotel,2016,,8.2,52,1,,,,1
995,Crazy Delicious,2020,7+,6.7,52,1,,,,1
996,The Frozen Dead,2017,,6.3,52,1,,,,1
997,Zumbo's Just Desserts,2016,7+,6.9,52,1,,,,1
998,Another Miss Oh,2016,,7.9,52,1,,,,1
999,Soundtrack,2019,,6.8,52,1,,,,1
1000,Bad Guys,2014,18+,7.9,52,1,,,,1
1001,Fireman Sam,1989,all,6.2,52,1,,1,,1
1002,We Are the Wave,2019,18+,6.1,52,1,,,,1
1003,Morocco: Love in Times of War,2017,,7.6,52,1,,,,1
1004,Okupas,2000,18+,9.1,52,1,,,,1
1005,Sword Art Online Alternative: Gun Gale Online,2018,16+,6.9,52,1,1,,,1
1006,The Haunted Hathaways,2013,all,5.3,52,1,,,,1
1007,TIGER & BUNNY,2011,16+,7.4,52,1,1,,,1
1008,The Queen and the Conqueror,2020,16+,6.7,52,1,,,,1
1009,Mossad 101,2015,,6.9,52,1,,,,1
1010,Hoops,2020,18+,6,52,1,,,,1
1011,Crime Diaries: The Candidate,2019,18+,7.6,52,1,,,,1
1012,Zac & Mia,2017,16+,7.9,52,1,1,,,1
1013,Men on a Mission,2015,16+,8.3,52,1,,,,1
1014,Girls Hostel,2018,7+,8.1,52,1,,,,1
1015,Power Rangers Dino Fury,2021,7+,6.8,52,1,,,,1
1016,Broken,2019,16+,6.9,52,1,,,,1
1017,Barney & Friends,1992,all,3.9,52,1,,1,,1
1018,Yunus Emre: Aֵkִ±n Yolculuִu,2015,,8,52,1,,,,1
1019,We the People,2021,7+,4.5,52,1,,,,1
1020,SanPa: Sins of the Savior,2020,,7.8,52,1,,,,1
1021,The Big Show Show,2020,all,6.4,52,1,,,,1
1022,Ares,2020,18+,5.6,52,1,,,,1
1023,The Duchess,2020,18+,6.8,52,1,,1,,1
1024,Green Frontier,2019,18+,7.3,52,1,,,,1
1025,Love Alarm,2019,,6.8,52,1,,,,1
1026,Loaded,2017,,6.6,52,1,,,,1
1027,Nagi no Asukara,2013,7+,7.4,52,1,,,,1
1028,Luna Nera,2020,18+,5.6,52,1,,,,1
1029,Secrets of Great British Castles,2015,7+,7.8,52,1,,,,1
1030,Ridley Jones,2021,all,5.6,52,1,,,,1
1031,Next in Fashion,2020,16+,7.3,52,1,,,,1
1032,Children of the Whales,2017,16+,7.1,52,1,,,,1
